fecha_operacion,fecha_valor,hoja,moneda,pais,bs_por_moneda_compra,bs_por_moneda_venta,publicado_en,archivo_fuente,url_fuente
2023-10-27,2023-10-31,27102023,EUR,Zona Euro,37.10537608,37.19837202,2023-10-27 15:18:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-10-27,2023-10-31,27102023,USD,E.U.A.,35.039781,35.1276,2023-10-27 15:18:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-10-31,2023-11-01,31102023,EUR,Zona Euro,37.12281521,37.21585484,2023-10-31 15:13:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-10-31,2023-11-01,31102023,USD,E.U.A.,34.97763675,35.0653,2023-10-31 15:13:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-11-01,2023-11-02,01112023,EUR,Zona Euro,37.0033422,37.09608241,2023-11-01 15:51:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-11-01,2023-11-02,01112023,USD,E.U.A.,35.06561625,35.1535,2023-11-01 15:51:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-11-02,2023-11-03,02112023,EUR,Zona Euro,37.3337343,37.42730256,2023-11-02 15:24:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-11-02,2023-11-03,02112023,USD,E.U.A.,35.084469,35.1724,2023-11-02 15:24:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-11-03,2023-11-07,03112023,EUR,Zona Euro,37.67820804,37.77263964,2023-11-03 15:21:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-11-03,2023-11-07,03112023,USD,E.U.A.,35.14791,35.236,2023-11-03 15:21:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-11-07,2023-11-08,07112023,EUR,Zona Euro,37.47210774,37.5660228,2023-11-07 15:14:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-11-07,2023-11-08,07112023,USD,E.U.A.,35.06621475,35.1541,2023-11-07 15:14:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-11-08,2023-11-09,08112023,EUR,Zona Euro,37.58883945,37.68304707,2023-11-08 16:28:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-11-08,2023-11-09,08112023,USD,E.U.A.,35.1576855,35.2458,2023-11-08 16:28:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-11-09,2023-11-10,09112023,EUR,Zona Euro,37.76382905,37.85847524,2023-11-09 15:15:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-11-09,2023-11-10,09112023,USD,E.U.A.,35.2458645,35.3342,2023-11-09 15:15:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-11-10,2023-11-13,10112023,EUR,Zona Euro,37.64925452,37.74361355,2023-11-10 15:15:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-11-10,2023-11-13,10112023,USD,E.U.A.,35.2821735,35.3706,2023-11-10 15:15:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-11-13,2023-11-14,13112023,EUR,Zona Euro,37.65115388,37.74551768,2023-11-13 16:10:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-11-13,2023-11-14,13112023,USD,E.U.A.,35.226513,35.3148,2023-11-13 16:10:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-11-14,2023-11-15,14112023,EUR,Zona Euro,38.2556241,38.35150286,2023-11-14 16:32:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-11-14,2023-11-15,14112023,USD,E.U.A.,35.29344525,35.3819,2023-11-14 16:32:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-11-15,2023-11-16,15112023,EUR,Zona Euro,38.38506729,38.48127046,2023-11-15 16:39:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
